organization_id,name,titre
44,Le Bal,Prix Le Bal / ADAGP de la jeune création
86,Festival international de mode, de photographie et d'accessoires de mode d'Hyères,Grand prix du jury Photographie
15,Festival Visa pour l'Image,Visa d’or Magazine
15,Festival Visa pour l'Image,Visa d'or presse quotidienne
15,Festival Visa pour l'Image,Visa d'Or News
15,Festival Visa pour l'Image,Visa Mentor Freelens
15,Festival Visa pour l'Image,Visa d'Or humanitaire CICR
15,Festival Visa pour l'Image,Visa d'Or de l'information numérique franceinfo
15,Festival Visa pour l'Image,Visa d'honneur du Figaro Magazine
15,Festival Visa pour l'Image,Visa d'or de la ville de Perpignan Rémi Ochlik
32,ImageSingulières,Prix ISEM de la photographie documentaire - ImageSingulières
5,Rencontres d'Arles,Prix du livre des rencontres d'Arles
