ID,organization_type,name,city,nb_women_dir,total_nb_dir,nb_women_expos,total_nb_expos
1,Structure,Le Jeu de Paume ,Paris,0,1,65,155
2,Festival,Les Rencontres d'Arles,,,1,72,141
3,Festival,Les photaumnales,Beauvais,1,2,15,82
4,Structure,La Chambre,Strasbourg,1,2,15,52
5,Festival,Boutographies,Montpellier,0,1,23,52
6,Festival,Photo marseille,,0,1,"21,00",47
7,Structure,Diaphane – Pôle photographique en Picardie,Clermont,1,2,13,45
8,Structure,Centre Photographique,Marseille,0,1,19,44
9,Festival,Eté photographique de Lectoure,,1,1,15,43
10,Structure,Le Centre photographique d’Ile-de-France (CPIF), Pontault Combault,1,1,15,36
11,Festival,Circulations,Paris,1,1,19,33
12,Festival,Visa pour l'image,Perpignan,,1,7,26
13,Festival,Les promenades de Vendôme,,1,1,10,26
14,Festival,Baie de Saint Brieuc,,0,1,11,26
15,Festival,Transphotographiques,Lille,0,1,"9,00",26
16,Festival,Planche contact,Deauville,1,1,"8,00",20
17,Structure,Centre d'art Image/Imatge,Orthez,1,1,7,19
18,Structure,Graph-CMI,Carcasonne,0,1,14,19
19,Festival,La Gacilly,,1,2,8,19
20,Structure,Centre d'art Gwinzegal,Guingamp ,1,2,5,18
21,Festival,Itinéraires des photographes voyageurs ,Bordeaux,1,2,7,17
22,Festival,Manifesto,Toulouse,0,1,7,15
23,Structure,Hotel de Fontfreyde - Centre photographique de Clermont-Ferrand,,0,1,4,14
24,Festival,MAP,Toulouse,0,1,7,14
25,Structure,Le Centre régional de la photographie Hauts-de-France (CRP),Douchy les Mînes,1,1,7,13
26,Structure,Cri des lumières,Luneville ,0,1,5,12
27,Festival,Quinzaine photographique,Nantes,0,1,9,12
28,Festival,Portrait(s),Vichy,1,1,"6,00",11
29,Festival,ImagesSingulières,Sète,0,1,3,8
30,Structure,Le Centre de photographie de Lectoure,,1,1,2,6
31,Festival,Chroniques nomades,Auxerre,0,1,3,6
32,Structure,Destin Sensible,Mons en Baroeul,0,1,2,5
33,Structure,La Capsule,Le Bourget ,0,1,3,5
34,Structure,Maison européenne de la photographie,Paris,0,1,3,4
35,Structure,Le Point du Jour – Centre régional de la photographie,Cherbourg,1,3,1,4
36,Structure,L'imagerie,Lannion,0,1,3,4
37,Structure,Simultania - Pole photographique,Strasbourg/Givors,1,1,1,4
38,Structure,Maison Photographique Robert Doisneau - Le lavoir Numerique,Gentilly,0,1,3,4
39,Structure,Centre Photographique de Rouen,,1,1,0,3
40,Structure,Galerie Carré d'Art,Chartres de Bretagne,0,1,2,3
41,Structure,Le Bal,Paris,2,2,0,2
42,Structure,Le Centre d'Art Contemporain Photographique - Villa Pérochon, Niort,0,1,0,2
43,Structure,Musée Niepce,Chalon sur Saone,1,1,1,2
44,Structure,Galerie Le lieu,Lorient,1,1,1,2
45,Structure,Galerie Confluence,Nantes,2,2,1,2
46,Structure,Carré Amelot,La Rochelle ,1,1,1,2
47,Structure,Voies Off ,Arles,0,1,,
48,Festival,Nicephore (biennale),Clermont-Ferrand,0,1,,
49,Festival,Les photographiques,Le Mans,0,1,,
